Bonafide Chicken - Dinner	2 Pc.	$5.29
Bonafide Chicken - Combo	2 Pc.	$6.79
Bonafide Chicken - Dinner	3 Pc.	$6.49
Bonafide Chicken - Combo	3 Pc.	$7.99
Bonafide Chicken - Dinner	4 Pc.	$7.69
Bonafide Chicken - Combo	4 Pc.	$9.19
Wings - Dinner	3 Pc.	$6.49
Wings - Combo	3 Pc.	$7.99
MVP Bundle Bonafide Chicken Mixed - 5 Biscuits & 2 Large Sides (Limited Time)	10 Pc.	$20.00
Bonafide Chicken Mixed or Tenders (Limited Time)	10 Pc.	$10.99
Tenders - Dinner	3 Pc.	$5.79
Tenders - Combo	3 Pc.	$7.29
Tenders - Dinner	5 Pc.	$7.79
Tenders - Combo	5 Pc.	$9.29
Chicken Po' Boy - Dinner		$4.99
Chicken Po' Boy - Combo		$6.49
Pepper Barrel Tenders - Dinner (Limited Time)		$4.99
Pepper Barrel Tenders - Combo (Limited Time)		$6.49
Cajun Fish	Dinner	$5.99
Cajun Fish	Combo	$7.49
1/4 lb Popcorn Shrimp	Dinner	$5.49
1/4 lb Popcorn Shrimp	Combo	$6.99
Fish & Popcorn Shrimp	Dinner	$6.49
Fish & Popcorn Shrimp	Combo	$7.99
Seafood Po' Boy (Fish or Shrimp)	Dinner	$5.49
Seafood Po' Boy (Fish or Shrimp)	Combo	$6.99
Cajun Surf & Turf - Combo (Limited Time)	6 Pc.	$6.49
Cajun Surf & Turf - Platter (Limited Time)	6 Pc.	$8.39
Spicy Garlic Butterfly Shrimp - Dinner (Limited Time)	8 Pc.	$4.99
Spicy Garlic Butterfly Shrimp - Combo (Limited Time)	8 Pc.	$6.49
Spicy Garlic Butterfly Shrimp - Platter (Limited Time)	8 Pc.	$8.39
Chicken	8 Pc.	$12.99
Chicken Meal (1 Large Side and 4 Biscuits)	8 Pc.	$17.99
Chicken	12 Pc.	$18.99
Chicken Meal (2 Large Sides and 6 Biscuits)	12 Pc.	$27.99
Chicken	16 Pc.	$22.99
Chicken Meal (3 Large Sides and 8 Biscuits)	16 Pc.	$37.99
Red Beans & Rice	Regular	$1.79
Red Beans & Rice	Large	$3.99
Mashed Potatoes with Cajun Gravy	Regular	$1.79
Mashed Potatoes with Cajun Gravy	Large	$3.99
Cole Slaw	Regular	$1.79
Cole Slaw	Large	$3.99
Cajun Fries	Regular	$1.79
Cajun Fries	Large	$3.99
Cajun Rice	Regular	$1.79
Cajun Rice	Large	$3.99
Green Beans	Regular	$1.79
Green Beans	Large	$3.99
Biscuit	1 Pc.	$0.79
Biscuits	6 Pc.	$3.99
Biscuits	12 Pc.	$6.99
Jalapeno	1 Pc.	$0.49
Jalapeno	6 Pc.	$1.95
Loaded Chicken Wrap		$1.99
Loaded Chicken Wrap - Combo		$4.99
Chicken Po'Boy		$3.99
Chicken Po'Boy - Combo		$6.49
Shrimp Po'Boy		$4.19
Shrimp Po'Boy - Combo		$6.99
Soft Drink	Small	$1.99
Soft Drink	Medium	$2.29
Soft Drink	Large	$2.59
Iced Tea	1/2 Gallon	$2.99
Iced Tea	1 Gallon	$4.99
Lemonade or Fruit Punch	1/2 Gallon	$2.99
Lemonade or Fruit Punch	1 Gallon	$4.99
Mild Tender	1 Pc.	$3.39
Nuggets	4 Pc.	$3.39
Mild Leg	1 Pc.	$3.39
Hot Cinnamon Apple Pie		$1.29
Banana Pudding Parfait (Limited Time)		$1.69
